date,Zip_Clean,PRCP,SNOW,zip3,TMAX.F,TMIN.F,season,study_year_idx
2005-05-01,50853,38,0,508,NA,NA,spring,1
2005-05-01,50854,24.916666666666668,0,508,71.87692307692308,47.8544,spring,1
2005-05-01,51001,23.1,0,510,NA,NA,spring,1
2005-05-01,51003,29.966666666666665,0,510,NA,NA,spring,1
2005-05-01,51010,30.433333333333334,0,510,69.13785714285714,46.86285714285714,spring,1
2005-05-01,51012,28.9,0,510,70.394,45.782,spring,1
2005-05-01,51020,36.86666666666667,0,510,NA,NA,spring,1
2005-05-01,51023,32.607142857142854,0,510,68.61448275862068,45.537241379310345,spring,1
2005-05-01,51025,44.56666666666667,0,510,70.562,47.894,spring,1
2005-05-01,51031,34.06666666666667,0,510,71.156,46.304,spring,1
2005-05-01,51034,33.13333333333333,0,510,71.666,45.95,spring,1
2005-05-01,51040,44.13333333333333,0,510,73.90785714285714,46.666896551724136,spring,1
2005-05-01,51111,28.733333333333334,0,511,75.338,48.524,spring,1
2005-05-01,51201,38.53333333333333,0,512,68.846,45.506,spring,1
2005-05-01,51245,28.6,0,512,69.344,48.032,spring,1
2005-05-01,51246,26.066666666666666,0,512,69.04400000000001,46.622,spring,1
2005-05-01,51247,37.233333333333334,0,512,NA,NA,spring,1
2005-05-01,51248,29.7,0,512,66.29,43.538,spring,1
2005-05-01,51249,34.666666666666664,0,512,67.202,43.994,spring,1
2005-05-01,51250,26.1,0,512,73.916,47.3,spring,1
2005-05-01,51301,32.25,0,513,69.395,46.805,spring,1
2005-05-01,51334,64.21052631578948,0,513,67.1671186440678,46.08344827586207,spring,1
2005-05-01,51347,57.36666666666667,0,513,65.234,45.608,spring,1
2005-05-01,51354,45.1,0,513,NA,NA,spring,1
2005-05-01,51360,53.65,0,513,67.91,47.363,spring,1
2005-05-01,51401,24.733333333333334,0,514,70.556,46.898,spring,1
2005-05-01,51442,30.866666666666667,0,514,70.088,47.684000000000005,spring,1
2005-05-01,51445,14.52,0,514,70.45400000000001,48.49172413793103,spring,1
2005-05-01,51537,29.066666666666666,0,515,72.608,47.324,spring,1
2005-05-01,51545,67.67857142857143,0,515,72.6303448275862,45.73586206896552,spring,1
2005-05-01,51546,42.5,0,515,73.352,47.81,spring,1
2005-05-01,51555,NA,NA,515,75.638,51.32,spring,1
2005-05-01,51560,36.233333333333334,0,515,72.76400000000001,47.81,spring,1
2005-05-01,51561,38.96666666666667,0,515,75.854,48.452,spring,1
2005-05-01,51566,39.43333333333333,0,515,74.138,48.362,spring,1
2005-05-01,51576,35.36666666666667,0,515,NA,NA,spring,1
2005-05-01,51601,38.233333333333334,0,516,75.236,51.806,spring,1
2005-05-01,51632,46.766666666666666,0,516,73.04,47.606,spring,1
2005-05-01,51649,29.4,0,516,NA,NA,spring,1
2005-05-01,51652,30.4,0,516,73.73,50.426,spring,1
2005-05-01,52001,25.366666666666667,0,520,68.15,47.522,spring,1
2005-05-01,52003,22.966666666666665,0,520,67.364,45.038000000000004,spring,1
2005-05-01,52031,24,0,520,68.94800000000001,44.534,spring,1
2005-05-01,52033,23.366666666666667,0,520,68.23400000000001,44.03,spring,1
2005-05-01,52052,17.566666666666666,0,520,68.894,49.153999999999996,spring,1
2005-05-01,52057,29.633333333333333,0,520,67.178,43.826,spring,1
2005-05-01,52060,16.666666666666668,0,520,68.426,43.574,spring,1
2005-05-01,52076,21.736842105263158,0,520,66.90615384615384,42.20461538461539,spring,1
2005-05-01,52101,45.13333333333333,0,521,69.11,44.653999999999996,spring,1
2005-05-01,52136,27.366666666666667,0.26666666666666666,521,64.70599999999999,42.8,spring,1
2005-05-01,52140,22.966666666666665,0,521,NA,NA,spring,1
2005-05-01,52142,27.633333333333333,0,521,66.458,44.672,spring,1
2005-05-01,52151,22.733333333333334,0,521,NA,NA,spring,1
2005-05-01,52162,21.466666666666665,0,521,66.512,46.364,spring,1
2005-05-01,52171,32.43333333333333,1.2,521,NA,NA,spring,1
2005-05-01,52172,31.233333333333334,0,521,65.66620689655173,44.035172413793106,spring,1
2005-05-01,52205,18.866666666666667,0,522,68.84413793103448,44.432857142857145,spring,1
2005-05-01,52208,30.066666666666666,0,522,68.702,44.828,spring,1
2005-05-01,52211,24.8,0,522,NA,NA,spring,1
2005-05-01,52217,34.63333333333333,0,522,NA,NA,spring,1
2005-05-01,52218,27.233333333333334,0,522,67.41655172413793,42.21655172413793,spring,1
2005-05-01,52228,29.1,0,522,NA,NA,spring,1
2005-05-01,52240,13.733333333333333,0,522,73.574,47.324,spring,1
2005-05-01,52246,14.166666666666666,NA,522,72.932,47.432,spring,1
2005-05-01,52255,22.133333333333333,0,522,NA,NA,spring,1
2005-05-01,52302,35.833333333333336,0,523,71.096,47.72,spring,1
2005-05-01,52338,23.266666666666666,0,523,NA,NA,spring,1
2005-05-01,52342,40.1,0,523,67.97,45.284,spring,1
2005-05-01,52349,30.333333333333332,0,523,70.56800000000001,48.218,spring,1
2005-05-01,52353,12.4,0,523,72.03200000000001,45.95,spring,1
2005-05-01,52361,20.233333333333334,0,523,70.394,46.406,spring,1
2005-05-01,52404,26.033333333333335,NA,524,70.02199999999999,46.730000000000004,spring,1
2005-05-01,52501,17.916666666666668,0,525,72.416,47.81,spring,1
2005-05-01,52531,20.6,0,525,70.43599999999999,46.7,spring,1
2005-05-01,52537,17.933333333333334,0,525,70.994,49.058,spring,1
2005-05-01,52540,17.333333333333332,0,525,NA,NA,spring,1
2005-05-01,52544,18.466666666666665,0,525,71.27724137931034,49.260714285714286,spring,1
2005-05-01,52556,17.466666666666665,0,525,73.358,48.56,spring,1
2005-05-01,52565,18.433333333333334,0,525,76.44800000000001,49.958,spring,1
2005-05-01,52574,17.7,0,525,71.30000000000001,48.374,spring,1
2005-05-01,52577,16.1,0,525,70.376,47.39,spring,1
2005-05-01,52591,14.933333333333334,0,525,70.7,46.928,spring,1
2005-05-01,52601,27.4,0,526,73.013,50.363,spring,1
2005-05-01,52625,19.333333333333332,0,526,NA,NA,spring,1
2005-05-01,52627,23.7,0,526,73.634,52.76,spring,1
2005-05-01,52632,28.5,0,526,73.184,50.18,spring,1
2005-05-01,52641,19.016666666666666,0,526,73.502,48.93241379310345,spring,1
2005-05-01,52653,14.275862068965518,0,526,NA,NA,spring,1
2005-05-01,52722,24.066666666666666,0,527,70.904,48.866,spring,1
2005-05-01,52730,21.4,0,527,71.762,47.69,spring,1
2005-05-01,52738,21.766666666666666,0,527,70.832,47.288000000000004,spring,1
2005-05-01,52742,24.7,0,527,NA,NA,spring,1
2005-05-01,52761,23.133333333333333,0,527,71.102,48.953,spring,1
2005-05-01,52772,23.166666666666668,0,527,68.84,44.726,spring,1
2005-05-01,52806,16.4,NA,528,71.66,47.486000000000004,spring,1
2005-06-01,50006,55.13793103448276,0,500,NA,NA,summer,1
2005-06-01,50008,57.310344827586206,0,500,81.9,61.118461538461546,summer,1
2005-06-01,50010,44.724137931034484,0,500,84.08827586206897,62.109655172413795,summer,1
2005-06-01,50021,53.793103448275865,0,500,85.58413793103448,62.86689655172414,summer,1
2005-06-01,50022,42.51724137931034,0,500,84.75862068965517,63.19586206896552,summer,1
2005-06-01,50025,45.6551724137931,0,500,82.38758620689654,59.124137931034475,summer,1
2005-06-01,50036,38.87931034482759,0,500,83.96413793103447,61.783793103448275,summer,1
2005-06-01,50049,47.689655172413794,0,500,83.62896551724138,60.421379310344825,summer,1
2005-06-01,50056,61,0,500,82.82827586206896,62.6,summer,1
2005-06-01,50071,66.03448275862068,0,500,NA,NA,summer,1
2005-06-01,50074,44.51724137931034,0,500,81.69241379310346,63.05931034482759,summer,1
2005-06-01,50106,41.793103448275865,0,501,NA,NA,summer,1
2005-06-01,50112,36.241379310344826,0,501,82.35034482758621,61.21586206896552,summer,1
2005-06-01,50115,48,0,501,83.76551724137931,61.929655172413796,summer,1
2005-06-01,50122,84.34482758620689,0,501,NA,NA,summer,1
2005-06-01,50125,39.172413793103445,0,501,82.93357142857143,62.18214285714286,summer,1
2005-06-01,50126,66.17241379310344,0,501,82.38758620689654,61.38965517241379,summer,1
2005-06-01,50129,39.41379310344828,0,501,84.06344827586207,62.04137931034482,summer,1
2005-06-01,50130,50.172413793103445,0,501,NA,NA,summer,1
2005-06-01,50131,60.827586206896555,0,501,84.0696551724138,63.82896551724137,summer,1
2005-06-01,50138,17,0,501,83.52909090909091,63.67181818181818,summer,1
2005-06-01,50140,48.189655172413794,0,501,83.94241379310346,63.779310344827586,summer,1
2005-06-01,50144,35.206896551724135,0,501,83.36428571428571,60.035,summer,1
