study_year_idx,zip3,total_flu_diag,total_ILI,total_vacc,total_AsmAtck,total_Asma,total_labpos,total_labtest,flu_diag_lab,ILI_diag_lab
5,525,104,8310,2673,146,1204,44,127,148,8354
5,526,499,10182,4550,224,1483,111,373,610,10293
5,527,420,9212,6655,191,1149,56,214,476,9268
5,528,147,3961,2330,168,1487,80,248,227,4041
6,500,246,17014,10478,184,2550,109,374,355,17123
6,501,333,14197,7057,163,1427,139,341,472,14336
6,502,335,17742,12003,189,2568,54,114,389,17796
6,503,448,23961,12369,412,3378,21,37,469,23982
6,504,328,11677,6919,118,1222,25,29,353,11702
6,505,491,14480,6475,223,1691,35,51,526,14515
6,506,223,10872,5255,130,922,22,25,245,10894
6,507,109,7365,4829,146,1005,50,187,159,7415
6,508,83,2564,842,47,196,4,4,87,2568
6,510,374,9653,3970,86,720,49,159,423,9702
6,511,177,5979,3517,187,1070,6,18,183,5985
6,512,286,7526,2987,48,302,27,32,313,7553
6,513,138,6007,2303,90,450,0,1,138,6007
6,514,243,6420,3008,63,437,3,10,246,6423
6,515,241,7630,3766,101,700,36,72,277,7666
6,516,22,1453,434,43,166,1,1,23,1454
6,520,365,11402,7796,184,1257,74,247,439,11476
6,521,117,5350,3655,59,470,8,9,125,5358
6,522,389,11527,7029,216,1848,71,135,460,11598
6,523,473,10322,5371,181,969,19,22,492,10341
6,524,408,15652,8197,289,1963,124,790,532,15776
6,525,273,10484,3419,193,1223,55,241,328,10539
6,526,240,9970,4020,196,1256,24,50,264,9994
6,527,174,6780,4140,149,850,24,27,198,6804
6,528,51,2426,974,87,784,85,286,136,2511
7,500,71,15795,13156,241,2591,42,172,113,15837
7,501,84,11982,7130,118,1167,74,222,158,12056
7,502,84,15999,13312,180,2257,41,65,125,16040
7,503,149,21903,17458,499,3390,118,132,267,22021
7,504,66,10669,7756,181,1319,20,132,86,10689
7,505,75,13550,7828,284,2005,46,93,121,13596
7,506,66,12100,7313,172,1114,16,40,82,12116
7,507,27,7226,5359,143,1094,73,129,100,7299
7,508,19,2466,1114,35,219,7,7,26,2473
7,510,171,8358,4051,74,663,73,172,244,8431
7,511,106,5419,2989,115,989,12,13,118,5431
7,512,99,6165,3019,50,258,46,50,145,6211
7,513,20,4881,2631,62,408,20,27,40,4901
7,514,73,6342,3444,58,426,15,22,88,6357
7,515,76,7200,4520,70,671,61,73,137,7261
7,516,12,1267,555,40,129,11,14,23,1278
7,520,78,10857,7610,151,1244,114,135,192,10971
7,521,34,4988,3549,70,481,14,14,48,5002
7,522,64,11284,9248,252,1785,81,174,145,11365
7,523,56,10121,6793,183,1023,14,53,70,10135
7,524,58,15087,9480,244,1852,105,361,163,15192
7,525,50,9177,3524,171,1088,40,95,90,9217
7,526,57,8356,4358,200,1324,49,83,106,8405
7,527,62,6500,4520,159,963,49,65,111,6549
7,528,36,2711,1571,95,929,68,132,104,2779
8,500,370,16323,14725,230,2611,101,308,471,16424
8,501,328,12206,8084,162,1184,181,436,509,12387
8,502,374,15497,14032,180,2129,88,177,462,15585
8,503,516,21694,19196,507,3280,326,594,842,22020
8,504,325,12353,9107,196,1432,58,142,383,12411
8,505,596,13553,8868,280,1939,82,110,678,13635
8,506,487,12573,8717,162,963,50,77,537,12623
8,507,129,7121,5821,138,934,68,152,197,7189
8,508,70,2529,1418,40,218,8,8,78,2537
8,510,449,7834,5028,77,557,125,223,574,7959
8,511,328,5809,3362,119,1092,11,11,339,5820
8,512,228,5729,3321,60,345,26,33,254,5755
8,513,286,5383,3217,72,420,19,21,305,5402
8,514,357,6651,3717,41,417,21,24,378,6672
8,515,346,7717,5055,102,660,41,55,387,7758
8,516,46,1319,716,39,165,3,4,49,1322
8,520,635,11543,9083,153,1268,60,82,695,11603
8,521,203,5255,4364,56,469,19,23,222,5274
8,522,465,12384,10246,242,1910,139,241,604,12523
8,523,545,11773,7812,164,980,27,33,572,11800
8,524,451,15499,10522,361,1960,254,1130,705,15753
8,525,296,9090,4066,167,997,89,212,385,9179
8,526,360,8725,4878,144,1069,32,45,392,8757
8,527,303,6871,5020,133,983,81,145,384,6952
8,528,111,3208,2147,103,998,80,116,191,3288
9,500,178,13820,13777,222,2597,45,100,223,13865
9,501,127,10649,7734,127,995,41,261,168,10690
9,502,189,14069,14012,183,2137,39,72,228,14108
9,503,303,18077,16299,407,3840,178,290,481,18255
9,504,134,10896,8383,197,1467,9,23,143,10905
9,505,207,11059,9144,241,1700,11,22,218,11070
9,506,194,10982,8768,185,997,31,58,225,11013
9,507,90,7034,6057,139,1080,26,51,116,7060
9,508,41,2181,1804,42,177,4,4,45,2185
9,510,177,7310,5036,100,660,13,21,190,7323
9,511,163,5777,4562,94,1090,1,1,164,5778
9,512,162,5155,4068,53,364,7,9,169,5162
9,513,109,4666,3366,93,488,8,14,117,4674
9,514,126,5295,4077,38,429,6,9,132,5301
9,515,181,6506,5273,88,702,28,30,209,6534
9,516,31,1375,753,22,112,1,1,32,1376
9,520,285,11356,9479,164,1301,9,19,294,11365
9,521,102,4464,4038,79,545,7,12,109,4471
9,522,238,11760,10999,278,1878,42,123,280,11802
9,523,216,10963,7360,165,1068,7,9,223,10970
9,524,271,12687,10432,293,2009,76,175,347,12763
9,525,152,8583,4204,132,957,23,70,175,8606
9,526,155,8108,5166,167,1122,25,37,180,8133
9,527,90,5895,4974,144,944,5,8,95,5900
9,528,51,3114,2489,120,1040,10,18,61,3124
10,500,520,16483,13980,317,2924,82,164,602,16565
10,501,481,13363,8049,215,1210,40,71,521,13403
10,502,555,16500,14374,223,2366,76,136,631,16576
10,503,645,18534,16756,503,4149,33,76,678,18567
10,504,396,12642,8898,202,1496,12,29,408,12654
10,505,514,12359,9061,290,1777,29,46,543,12388
10,506,537,12612,9097,222,1243,32,73,569,12644
10,507,217,7730,6478,232,1149,29,38,246,7759
10,508,106,2446,1745,43,200,4,7,110,2450
10,510,457,8200,5179,116,794,7,15,464,8207
10,511,383,7233,4912,155,1390,5,5,388,7238
10,512,277,5806,4612,83,510,18,22,295,5824
10,513,219,5445,3730,89,582,7,9,226,5452
10,514,250,6949,4247,72,553,10,10,260,6959
10,515,413,7590,5294,121,918,26,35,439,7616
10,516,115,1927,950,20,169,13,15,128,1940
10,520,717,13367,10127,199,1749,23,59,740,13390
10,521,172,4444,4463,68,448,9,11,181,4453
10,522,498,12991,10922,307,2051,24,34,522,13015
10,523,591,12577,7612,222,1264,12,21,603,12589
10,524,723,14656,9837,395,2300,229,307,952,14885
10,525,309,9801,4699,205,1063,100,308,409,9901
10,526,330,8839,5119,179,1160,24,28,354,8863
10,527,338,6506,5028,175,1056,6,10,344,6512
10,528,108,3695,2782,138,1141,1,5,109,3696
11,500,161,7991,13519,113,1091,35,45,196,8026
11,501,173,6590,8201,73,491,32,52,205,6622
11,502,186,8065,14266,123,1098,19,39,205,8084
11,503,271,11032,16454,249,1691,9,14,280,11041
