zip3,study_year_idx,April.avgPRCP,Aug&Sept.avgPRCP,flood.avgPRCP,flu.avgPRCP,April.sdPRCP,Aug&Sept.sdPRCP,flood.sdPRCP,flu.sdPRCP,April.totalPRCP,Aug&Sept.totalPRCP,flood.totalPRCP,flu.totalPRCP,April.avgSNOW,Aug&Sept.avgSNOW,flood.avgSNOW,flu.avgSNOW,April.sdSNOW,Aug&Sept.sdSNOW,flood.sdSNOW,flu.sdSNOW,April.totalSNOW,Aug&Sept.totalSNOW,flood.totalSNOW,flu.totalSNOW,April.avgTMAX,Aug&Sept.avgTMAX,flood.avgTMAX,flu.avgTMAX,April.sdTMAX,Aug&Sept.sdTMAX,flood.sdTMAX,flu.sdTMAX,April.avgTMIN,Aug&Sept.avgTMIN,flood.avgTMIN,flu.avgTMIN,April.sdTMIN,Aug&Sept.sdTMIN,flood.sdTMIN,flu.sdTMIN,April.avgTAVG,Aug&Sept.avgTAVG,flood.avgTAVG,flu.avgTAVG,April.sdTAVG,Aug&Sept.sdTAVG,flood.sdTAVG,flu.sdTAVG,April.avgRhum,Aug&Sept.avgRhum,flood.avgRhum,flu.avgRhum,April.sdRhum,Aug&Sept.sdRhum,flood.sdRhum,flu.sdRhum,April.avgAhum,Aug&Sept.avgAhum,flood.avgAhum,flu.avgAhum,April.sdAhum,Aug&Sept.sdAhum,flood.sdAhum,flu.sdAhum
500,1,34.86363636363636,27.724395288619426,39.93345026620889,11.181117323150469,7.203218227064999,16.390399396583206,12.051261920026187,12.690026324316015,383.5,609.9366963496274,1317.8038587848932,737.9537433279309,0,0,0,4.082948246365839,0,0,0,10.985051150022972,0,0,0,269.4745842601453,67.70931034482759,82.061447454844,80.2794232102508,45.16456315963622,0.9839717557792126,2.310407886571241,6.904063030955162,11.824822794517456,40.862758620689654,57.52793267651888,57.40800589448865,23.748726197711488,1.5861374516282603,3.5400582196359176,7.816885569872176,9.47912696211771,54.428,70.57379569892473,68.81369758064515,35.82785580645202,1.6207731488397747,2.813837174483954,8.001312119857971,9.90075477109074,66.31839258347017,70.34862990977629,68.37140994623655,70.51312812206162,5.4148069566231785,5.456319388161869,4.546417309479065,6.748752895650579,7.085646825396825,13.255169352778807,12.560250896057347,4.276206864769465,0.45901291521079224,1.664870781705131,3.416123411295758,1.482589607631106
500,2,46.11520376175549,49.63723441309648,24.77142884786563,18.10124995219396,10.516751170548034,18.95057720009918,17.33468805212958,19.91127271809244,507.26724137931035,1092.0191570881227,817.4571519795658,1212.7837467969955,1.1003134796238245,0,0,4.486650826537599,0.9837508053145805,0,0,8.770569944330532,12.10344827586207,0,0,300.60560537801916,58.5767816091954,76.5885538415003,80.62631259502524,43.93332764702305,1.7503548731403802,5.579137769514794,6.645821527638943,12.50948105220508,35.64909255898367,55.905848457350274,57.44681755154169,23.652232124197642,0.8950848820405194,6.944156465669416,6.455229746008177,10.949546213440264,47.743655172413796,66.22851612903226,69.40397120257076,34.49641053845837,0.6635489707799037,6.29131525359306,6.39247410542672,10.70568236997456,65.81766091954023,77.11843279569892,70.25244402330894,74.364451614129365,3.2669800736498273,5.834707324525695,6.594098958652458,5.383121485148456,5.9382011494252875,12.854333333333333,12.87498152039074,4.539209414046177,0.3196640257797629,3.3147360007589284,3.0737554546744126,1.548297997064414
500,3,42.73539926624802,56.803886788903554,37.911240140766004,25.766152571530714,14.079725832790094,38.96187340691875,25.94865278291269,66.38946419727249,769.2371867924643,1931.3321508227207,1213.1596845045121,2705.4460200107246,0.6802849595547436,0,0,5.923893468350077,0.9915879959443393,0,0,14.18371705627127,12.245129271985384,0,0,616.0849207084079,57.04857648099028,81.26981510376034,80.867660856385,40.498929644815874,1.775760433786743,4.327485743816398,4.649539504430609,14.778582471736955,35.74457559681698,58.57427482186509,58.677610521662245,21.051074763573503,1.33234933538219,7.27521835818634,4.179841500049882,13.054701389281139,46.672367816091956,70.22441244239631,70.80728706499285,32.17277073511277,1.207242344682744,5.698797212221126,4.09256532115011,13.289771945868848,71.70558578118349,74.19682910906297,68.60123454632131,74.23254523524236,3.155470756617116,4.274912026746312,2.865581781595647,6.8711234125423495,6.076019369944658,14.16061507936508,12.871625049290511,4.182496612586846,0.3647376308729554,3.0817071941173717,1.7886372278609324,2.1832433636147983
500,4,58.08054958170363,27.970478123621856,81.22240398018883,19.683890598838616,79.61880226098306,20.59637893290977,43.67681382943116,18.145753225478668,987.3693428889617,1006.9372124503868,4386.009814930197,2047.124622279216,2.2802810384927357,0,0.0030864197530864196,5.402529231426257,2.1125964879781036,0,0.022680460581325723,13.02016542643603,36.48449661588377,0,0.16666666666666666,561.8630400683307,59.18861761083744,78.00229591315453,77.97651997810618,41.775770468648204,1.554620993048544,4.167592909585395,6.099612449500131,13.1024272565432,35.817740147783255,55.27088186462324,56.36505777534513,20.5842238057349,1.5871252682651762,3.5205285783194484,7.700580228217652,12.559124932062767,48.547,67.02724185603051,68.22683062218546,32.91826792408967,0.6781583885789512,4.0794170003080605,6.539697643003002,11.912633878150862,65.8398888888889,76.59177565019334,69.8689061461136,73.91424391724033,2.5343041005518794,3.383948550210717,5.7219725019335685,3.795535473194185,5.928555555555556,12.809430164909864,12.389250592529915,4.271898167929746,0.2789177231663422,1.384039217148489,3.166854925268067,1.777158000145667
500,5,51.24695439240972,38.4534306507167,45.44029199541401,21.674628542609472,49.96697655919616,50.428105042052394,38.47924791811153,24.16352786422698,768.7043158861458,1268.963211473651,2317.454891766114,1994.0658259200713,0,0,0,7.279246834840746,0,0,0,11.468113281572593,0,0,0,662.411461970508,67.6446722243274,77.61209459332834,76.61735264778325,38.44303620517414,1.2146452243425352,2.2073645886059086,3.9945567540145643,13.67623072930649,41.55633573323228,54.60729806971514,55.051019365763544,20.218636997018784,1.5991995864180817,4.477321309185142,4.950047155641898,12.52490176190688,56.41668700265252,66.05289722611812,66.8183683102607,31.703628113454172,1.9223999437609771,3.5844902056655235,4.299694016189151,12.373059231804525,63.06679045092838,76.52116146130936,71.75568697075666,76.96854332873315,4.088652198345824,3.676998076010074,5.520058351956481,3.6894465740575235,7.296277483053345,12.421778914082386,12.02817153395532,4.150140699866379,0.35276660950901834,1.6921487212639117,2.402224890486649,1.651487496776109
500,6,48.83301148358352,69.66203302246797,75.58683634864497,17.84740224229583,32.159592544058185,55.982440938127986,47.31580041306902,48.98993465584202,732.4951722537528,2229.185056718975,3476.994472037668,1570.5713973220331,3.653209109730849,0,0,9.453814805480969,13.627398557540873,0,0,18.281982207280613,51.14492753623188,0,0,822.4818880768443,59.60217980295566,80.57523844732853,79.59935255229529,42.05760860194903,1.0318876227833786,5.4425764013512445,6.127731400345501,15.457862199889188,36.72583128078818,57.986435790071994,58.54333294067252,20.596284111664406,1.2540999558748847,6.300856536062817,7.582462304850216,11.37419933821115,48.83371428571429,69.538650945495,68.79137931034482,31.66237348686693,1.8662473357964482,5.398250811467295,6.448164531472375,11.682407343764597,68.96915584415585,77.54317374860956,76.78609784291915,73.38945761989275,7.008326023168663,6.264016496890456,11.48897090693122,15.79640072495898,6.1070945165945165,14.267816129032258,13.874431459791925,3.777980125540253,0.5232857385159952,2.649951515035395,3.656575967349693,1.4503251784701485
500,7,46.264090522295746,33.158405386036975,56.75611049720184,27.325274297147928,29.854986198558485,30.243959985026578,44.287548994496426,52.02887856054316,647.6972673121404,994.7521615811091,2554.0249723740826,2322.648315257574,0,0,0,8.007555033017088,0,0,0,16.040450979255798,0,0,0,640.604402641367,65.62287267080745,77.83559644326304,80.03189230979748,49.7849445749694,1.4762665518617377,6.07146112482083,7.332703612477846,12.724075677366583,40.53072106803741,54.386144636059925,59.265569764209374,26.97142661526788,0.8778658094581604,7.5061231791103245,8.525710909735192,9.871593770719565,54.196875,67.52256451612904,70.37040584776736,39.61985891731553,1.6311513705815295,6.771971652771082,8.209287671327424,10.80358222134336,60.32219444444445,69.89409946236559,72.46417750175091,67.08236557079883,5.0405883192966305,4.521217998869191,8.25718199238072,7.067119754470434,6.645472222222223,12.163281362007169,14.0526919195932,4.639532731841964,0.29484527800689453,2.9852733526078272,4.312406476432519,1.6213685756175074
500,8,57.765745835078164,35.88869020449261,44.0652952163797,24.275850436651503,20.840765368439516,44.10432040946503,59.00965484811129,39.41031226360067,808.7204416910944,1040.7720159302858,1806.6771038715676,2184.826539298635,0,0,0,8.283936227540023,0,0,0,15.144436266799504,0,0,0,670.9988344307419,55.735978116710875,80.39315793666987,84.76386766024741,42.78289341738691,1.0563864899765316,4.655648139667739,6.14420434301149,9.850555754655836,32.5948224137931,51.28995205060192,59.7947248293203,21.724160292138986,1.4183799749112174,6.474211498115198,5.827939125527263,8.177730394198278,43.08158695652174,67.40058467741936,73.13737173579109,33.95246006144393,4.3109656355143935,4.783206410279567,5.676845442409148,9.788898866887484,68.09652657004831,63.03109363799283,62.88880252602833,72.50650185611879,4.951631057475567,5.230462696564413,4.029493055682979,5.849688900750422,5.117334541062802,10.420801523297492,12.753094640723672,4.156946001877453,1.0551734184502188,1.7456705139925712,2.4698999462825535,1.3137221969069521
500,9,52.447437392315486,22.597697987368715,77.75688011891849,16.874447635348602,32.29217440259859,43.97843469988689,132.0144039142589,35.36157849376624,839.1589982770478,700.5286376084302,3499.0596053513323,1552.4491824520712,2.393816725256294,0,8.436331768220313,5.4182232816774825,6.5424672155931685,0,31.768438171108425,9.93568705345246,33.513434153588115,0,303.7079436559313,465.9672022242635,60.41260856883588,82.36232880434783,77.18644967317165,38.92212878306716,1.7754508364005197,2.4337815153710864,6.2540165587708385,12.890643853263477,34.58424158456486,56.9698219238595,56.28059158298598,16.019661833094435,2.19939799470536,3.418396917551367,5.660071903671234,12.580496916243849,49.114,69.91454838709677,67.74040202919069,28.54642491818607,1.1653641490967541,3.160655917611662,5.732218817655505,12.214202056448357,63.764222222222216,71.35899910394265,71.10466780523065,69.23517276096975,3.723406359574323,3.2629478769504825,4.12888965708016,4.876093639640412,5.7234444444444446,12.958232974910395,12.239858010958677,3.509410360500753,0.4290939118481934,1.3582968153479,1.969023802933522,1.7143974446381514
500,10,42.131038996397585,73.4786326559627,50.8384268183919,12.055928694630461,32.73188044895221,35.643518101541034,40.50775306178487,20.79623997077224,674.0966239423614,2424.794877646769,2541.921340919595,1072.977653822111,0.005128205128205128,0,0,1.9820141988372153,0.01849000654084097,0,0,2.6975213532296793,0.06666666666666667,0,0,160.54315010581445,63.08910303776683,76.32330491189845,77.0033467360931,41.9408362155804,0.8349674975167916,3.878524737304152,3.6275331466924037,12.85452988990423,38.64777606732348,56.442374725274725,55.33407218117132,20.69218353516694,1.5542641381715296,6.426400131957111,4.8911522518179575,11.355303592095966,52.633,67.49912680756395,67.77985581863446,32.47856762805233,0.9994740616944502,5.070562529797733,4.535636667391652,11.420763677440764,62.28738888888889,81.89558633049067,73.19875341502316,71.71729545173649,2.166169639572905,2.7149173943921956,5.0016775731165355,6.65703819759462,6.255333333333334,14.11731859473489,12.865341467003313,4.027834150673,0.32329683642814144,2.593181748115499,2.3748271705316744,1.5943617873148135
