zip3,study_year_idx,totalAvgAbove2,sd_avgAvgAbove,countAvgAbove,totalMaxAbove2,sd_avgMaxAbove,countMaxAbove,totalMinAbove2,sd_avgMinAbove,countMinAbove,total_AvgMaxConsec,sd_AvgMaxConsec,count_MaxConsec,total_AvgDaysConsec,sd_AvgDaysConsec,count_total_DaysConsec,n
515,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7
515,4,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
515,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5
515,13,0,0,0,0,0,0,0,0,0,11,0,45,0,0,0,11
515,14,0,0,0,0,0,0,0,0,0,9,0,59,0,0,0,9
516,12,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4
516,13,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
516,14,0,0,0,0.7777777777777777,0.14463425325753063,2.3333333333333335,0,0,0,9,0,27,0,0,0,9
520,3,1.875,0.708683386892301,7.5,3.625,1.0763280832799742,14.5,1.125,0.4252100321353806,4.5,7.875,0.33071891388307384,31.5,1.5,0.5669467095138409,6,7
520,4,4.5,0.9971550440218321,18,9.625,1.534136503250627,38.5,1.875,0.5031858729408772,7.5,14.125,0.6134346610139774,56.5,3.625,1.0077234882584998,14.5,12
520,5,0.875,0.21623281154320403,3.5,2.5,0.4105613304496736,10,0.375,0.07769769506350763,1.5,12.25,0.07216878364870322,49,0.5,0.14433756729740643,2,12
520,6,2,0.5773502691896256,8,3.5,1.0103629710818454,14,0.75,0.21650635094610965,3,13.25,0.36084391824351614,53,2,0.5773502691896257,8,12
520,7,0.25,0.0721687836487032,1,0.625,0.180421959121758,2.5,0.125,0.0360843918243516,0.5,12,0,48,0,0,0,12
520,8,1.25,0.29112503822032876,5,2.125,0.47809498073715495,8.5,0.125,0.03608439182435161,0.5,12.25,0.07216878364870322,49,0.5,0.14433756729740643,2,12
520,9,1.375,0.268932725056027,5.5,3,0.5838742081211422,12,0.5,0.1443375672974064,2,12.25,0.07216878364870322,49,0.5,0.14433756729740643,2,12
520,10,1.5,0.2967628376636499,6,3.375,0.6702378309227255,13.5,0.875,0.17236929611280616,3.5,12.375,0.07769769506350763,49.5,0.875,0.1881302538781108,3.5,12
520,11,1,0.28867513459481287,4,1,0.28867513459481287,4,0,0,0,12.5,0.14433756729740643,50,1,0.28867513459481287,4,12
520,12,1.875,0.3735768449608582,7.5,3.625,0.6688234524940498,14.5,0.75,0.15539539012701525,3,12.75,0.15539539012701525,54,1.25,0.24905122997390547,5,12
520,13,1.342857142857143,0.24682272888226492,7,2.8714285714285714,0.44376216699199617,15.5,0.6000000000000001,0.12431631210161223,3,12.4,0.11547005383792512,75,0.8,0.23094010767585033,4,12
520,14,4.696428571428571,0.8839974620420726,37,8.026785714285714,1.3359067825598245,62.5,2.080357142857143,0.42797681137778654,16.5,10.892857142857142,0.3797297157577722,83,3.7857142857142856,0.7696776131068863,30,9
521,3,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,7
521,4,0.75,0.21650635094610965,1.5,1.25,0.360843918243516,2.5,0.25,0.0721687836487032,0.5,12.25,0.07216878364870322,24.5,0.5,0.14433756729740643,1,12
521,5,0,0,0,0,0,0,0,0,0,12,0,25,0,0,0,12
521,6,0,0,0,0.3333333333333333,0.09622504486493762,1,0,0,0,12,0,36,0,0,0,12
521,7,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,12
521,8,0.3333333333333333,0.09622504486493762,1,2.333333333333333,0.4596514563008164,7,0,0,0,12,0,36,0,0,0,12
521,9,1.5,0.25746432527221863,4.5,2.1666666666666665,0.32920422365975327,6.5,0.5,0.14433756729740643,1.5,12.666666666666666,0.19245008972987526,38,0.8333333333333334,0.2405626121623441,2.5,12
521,10,6,1.0075472768815938,18,7.333333333333334,1.1619674479813755,22,5.833333333333333,0.9910160415516966,17.5,17.5,0.9404624909956255,52.5,6,1.0075472768815938,18,12
521,11,0.3333333333333333,0.09622504486493762,1,1,0.207193853502687,3,0.3333333333333333,0.09622504486493762,1,12.166666666666666,0.048112522432468836,36.5,0.3333333333333333,0.09622504486493763,1,12
521,12,3,0.6009252125773316,9,4.666666666666667,0.8358547712690276,14,1.3333333333333333,0.2958751215328649,4,13.166666666666666,0.2508403385041477,51.5,2.8333333333333335,0.5880043862499311,8.5,12
