zip3,study_year_idx,season,avg_TAVG,sd_TAVG,avg_RHum,sd_RHum,avg_AHum,sd_AHum,avg_TMAX,sd_TMAX,avg_TMIN,sd_TMIN,avg_PRCP,sd_PRCP,total_PRCP,avg_SNOW,sd_SNOW,total_SNOW
500,1,April,54.428,1.6207731488397747,66.31839258347017,5.4148069566231785,7.085646825396825,0.45901291521079224,67.70931034482759,0.9839717557792126,40.862758620689654,1.5861374516282603,34.86363636363636,7.203218227064999,383.5,0,0,0
500,1,Aug&Sept,70.57379569892473,2.813837174483954,70.34862990977629,5.456319388161869,13.255169352778807,1.664870781705131,82.061447454844,2.310407886571241,57.52793267651888,3.5400582196359176,27.724395288619426,16.390399396583206,609.9366963496274,0,0,0
500,1,flood,68.81369758064515,8.001312119857971,68.37140994623655,4.546417309479065,12.560250896057347,3.416123411295758,80.2794232102508,6.904063030955162,57.40800589448865,7.816885569872176,39.93345026620889,12.051261920026187,1317.8038587848932,0,0,0
500,1,flu,35.82785580645202,9.90075477109074,70.51312812206162,6.748752895650579,4.276206864769465,1.482589607631106,45.16456315963622,11.824822794517456,23.748726197711488,9.47912696211771,11.181117323150469,12.690026324316015,737.9537433279309,4.082948246365839,10.985051150022972,269.4745842601453
500,2,April,47.743655172413796,0.6635489707799037,65.81766091954023,3.2669800736498273,5.9382011494252875,0.3196640257797629,58.5767816091954,1.7503548731403802,35.64909255898367,0.8950848820405194,46.11520376175549,10.516751170548034,507.26724137931035,1.1003134796238245,0.9837508053145805,12.10344827586207
500,2,Aug&Sept,66.22851612903226,6.29131525359306,77.11843279569892,5.834707324525695,12.854333333333333,3.3147360007589284,76.5885538415003,5.579137769514794,55.905848457350274,6.944156465669416,49.63723441309648,18.95057720009918,1092.0191570881227,0,0,0
500,2,flood,69.40397120257076,6.39247410542672,70.25244402330894,6.594098958652458,12.87498152039074,3.0737554546744126,80.62631259502524,6.645821527638943,57.44681755154169,6.455229746008177,24.77142884786563,17.33468805212958,817.4571519795658,0,0,0
500,2,flu,34.49641053845837,10.70568236997456,74.364451614129365,5.383121485148456,4.539209414046177,1.548297997064414,43.93332764702305,12.50948105220508,23.652232124197642,10.949546213440264,18.10124995219396,19.91127271809244,1212.7837467969955,4.486650826537599,8.770569944330532,300.60560537801916
500,3,April,46.672367816091956,1.207242344682744,71.70558578118349,3.155470756617116,6.076019369944658,0.3647376308729554,57.04857648099028,1.775760433786743,35.74457559681698,1.33234933538219,42.73539926624802,14.079725832790094,769.2371867924643,0.6802849595547436,0.9915879959443393,12.245129271985384
500,3,Aug&Sept,70.22441244239631,5.698797212221126,74.19682910906297,4.274912026746312,14.16061507936508,3.0817071941173717,81.26981510376034,4.327485743816398,58.57427482186509,7.27521835818634,56.803886788903554,38.96187340691875,1931.3321508227207,0,0,0
500,3,flood,70.80728706499285,4.09256532115011,68.60123454632131,2.865581781595647,12.871625049290511,1.7886372278609324,80.867660856385,4.649539504430609,58.677610521662245,4.179841500049882,37.911240140766004,25.94865278291269,1213.1596845045121,0,0,0
500,3,flu,32.17277073511277,13.289771945868848,74.23254523524236,6.8711234125423495,4.182496612586846,2.1832433636147983,40.498929644815874,14.778582471736955,21.051074763573503,13.054701389281139,25.766152571530714,66.38946419727249,2705.4460200107246,5.923893468350077,14.18371705627127,616.0849207084079
500,4,April,48.547,0.6781583885789512,65.8398888888889,2.5343041005518794,5.928555555555556,0.2789177231663422,59.18861761083744,1.554620993048544,35.817740147783255,1.5871252682651762,58.08054958170363,79.61880226098306,987.3693428889617,2.2802810384927357,2.1125964879781036,36.48449661588377
500,4,Aug&Sept,67.02724185603051,4.0794170003080605,76.59177565019334,3.383948550210717,12.809430164909864,1.384039217148489,78.00229591315453,4.167592909585395,55.27088186462324,3.5205285783194484,27.970478123621856,20.59637893290977,1006.9372124503868,0,0,0
500,4,flood,68.22683062218546,6.539697643003002,69.8689061461136,5.7219725019335685,12.389250592529915,3.166854925268067,77.97651997810618,6.099612449500131,56.36505777534513,7.700580228217652,81.22240398018883,43.67681382943116,4386.009814930197,0.0030864197530864196,0.022680460581325723,0.16666666666666666
500,4,flu,32.91826792408967,11.912633878150862,73.91424391724033,3.795535473194185,4.271898167929746,1.777158000145667,41.775770468648204,13.1024272565432,20.5842238057349,12.559124932062767,19.683890598838616,18.145753225478668,2047.124622279216,5.402529231426257,13.02016542643603,561.8630400683307
500,5,April,56.41668700265252,1.9223999437609771,63.06679045092838,4.088652198345824,7.296277483053345,0.35276660950901834,67.6446722243274,1.2146452243425352,41.55633573323228,1.5991995864180817,51.24695439240972,49.96697655919616,768.7043158861458,0,0,0
500,5,Aug&Sept,66.05289722611812,3.5844902056655235,76.52116146130936,3.676998076010074,12.421778914082386,1.6921487212639117,77.61209459332834,2.2073645886059086,54.60729806971514,4.477321309185142,38.4534306507167,50.428105042052394,1268.963211473651,0,0,0
500,5,flood,66.8183683102607,4.299694016189151,71.75568697075666,5.520058351956481,12.02817153395532,2.402224890486649,76.61735264778325,3.9945567540145643,55.051019365763544,4.950047155641898,45.44029199541401,38.47924791811153,2317.454891766114,0,0,0
500,5,flu,31.703628113454172,12.373059231804525,76.96854332873315,3.6894465740575235,4.150140699866379,1.651487496776109,38.44303620517414,13.67623072930649,20.218636997018784,12.52490176190688,21.674628542609472,24.16352786422698,1994.0658259200713,7.279246834840746,11.468113281572593,662.411461970508
