study_year_idx,zip3,total_flu_diag,total_ILI,total_vacc,total_AsmAtck,total_Asma,total_labpos,total_labtest,flu_diag_lab,ILI_diag_lab,Area_sqmi,total_pop,Under5,Older75,total_prod,Total_pig,Total_bird,PerUnder5,PerOlder75,pop_density,PerProducer,April.avgPRCP,Aug&Sept.avgPRCP,flood.avgPRCP,flu.avgPRCP,April.sdPRCP,Aug&Sept.sdPRCP,flood.sdPRCP,flu.sdPRCP,April.totalPRCP,Aug&Sept.totalPRCP,flood.totalPRCP,flu.totalPRCP,April.avgSNOW,Aug&Sept.avgSNOW,flood.avgSNOW,flu.avgSNOW,April.sdSNOW,Aug&Sept.sdSNOW,flood.sdSNOW,flu.sdSNOW,April.totalSNOW,Aug&Sept.totalSNOW,flood.totalSNOW,flu.totalSNOW,April.avgTMAX,Aug&Sept.avgTMAX,flood.avgTMAX,flu.avgTMAX,April.sdTMAX,Aug&Sept.sdTMAX,flood.sdTMAX,flu.sdTMAX,April.avgTMIN,Aug&Sept.avgTMIN,flood.avgTMIN,flu.avgTMIN,April.sdTMIN,Aug&Sept.sdTMIN,flood.sdTMIN,flu.sdTMIN,April.avgTAVG,Aug&Sept.avgTAVG,flood.avgTAVG,flu.avgTAVG,April.sdTAVG,Aug&Sept.sdTAVG,flood.sdTAVG,flu.sdTAVG,April.avgRhum,Aug&Sept.avgRhum,flood.avgRhum,flu.avgRhum,April.sdRhum,Aug&Sept.sdRhum,flood.sdRhum,flu.sdRhum,April.avgAhum,Aug&Sept.avgAhum,flood.avgAhum,flu.avgAhum,April.sdAhum,Aug&Sept.sdAhum,flood.sdAhum,flu.sdAhum,totalAvgAbove2,sd_avgAvgAbove,countAvgAbove,totalMaxAbove2,sd_avgMaxAbove,countMaxAbove,totalMinAbove2,sd_avgMinAbove,countMinAbove,total_AvgMaxConsec,sd_AvgMaxConsec,count_MaxConsec,total_AvgDaysConsec,sd_AvgDaysConsec,count_total_DaysConsec,n,vaccrate,AsmAtckrate,Asmarate
3,500,445,22909,13818,217,3141,26,74,471,22935,3542.60110522,224717,14936,12778,8606,639517,38555,6.646582145543061,5.686263166560607,63.432769686906305,3.8297058077493027,42.73539926624802,56.803886788903554,37.911240140766004,25.766152571530714,14.079725832790094,38.96187340691875,25.94865278291269,66.38946419727249,769.2371867924643,1931.3321508227207,1213.1596845045121,2705.4460200107246,0.6802849595547436,0,0,5.923893468350077,0.9915879959443393,0,0,14.18371705627127,12.245129271985384,0,0,616.0849207084079,57.04857648099028,81.26981510376034,80.867660856385,40.498929644815874,1.775760433786743,4.327485743816398,4.649539504430609,14.778582471736955,35.74457559681698,58.57427482186509,58.677610521662245,21.051074763573503,1.33234933538219,7.27521835818634,4.179841500049882,13.054701389281139,46.672367816091956,70.22441244239631,70.80728706499285,32.17277073511277,1.207242344682744,5.698797212221126,4.09256532115011,13.289771945868848,71.70558578118349,74.19682910906297,68.60123454632131,74.23254523524236,3.155470756617116,4.274912026746312,2.865581781595647,6.8711234125423495,6.076019369944658,14.16061507936508,12.871625049290511,4.182496612586846,0.3647376308729554,3.0817071941173717,1.7886372278609324,2.1832433636147983,0.3333333333333333,0.12598815766974242,1,0.3333333333333333,0.12598815766974242,1,0,0,0,7,0,21,0,0,0,7,614.9067493781067,9.656590289119203,139.77580690379455
3,501,513,17533,7697,108,1281,17,23,530,17550,3868.22030484,176519,11763,13740,9133,603193,139697,6.663871877814853,7.7838646264708045,45.63312998981357,5.173947280462726,52.89730581363167,51.15933285516862,36.66184387964748,22.648370922523814,19.90870971746245,30.522596844134423,17.845456416084357,26.002674369354253,1216.6380337135283,2251.0106456274193,1686.444818463784,2966.9365908506197,0.6972631225343104,0,0,7.58520780540395,1.0634614859498939,0,0,12.055211748376127,16.03705181828914,0,0,993.6622225079175,56.2316641553173,81.2974101753507,80.91146958056059,40.21768252352443,1.2340805659795417,4.198315027452925,4.599063350576099,14.703374565453235,35.73167146646457,58.691778081600845,58.93718856192205,21.12990079269134,1.5574556222329512,7.459213979409314,4.071875160592989,13.309912907970949,46.59878620689655,69.86494389901823,70.84358275067535,32.26687690352047,2.245930247539606,5.9589034437862685,4.1367381785739905,13.472766139849018,72.71433793103448,72.49292936297681,67.98933728834507,75.29174230201595,3.7484618641316048,6.019361003631803,3.7471077746183425,8.011769712077779,6.16507816091954,13.692589276747528,12.77121031525328,4.237549549091734,0.22804052853150128,3.434077175056022,1.9213995550989147,2.145253734199728,1,0.37796447300922725,2,2,0.5669467095138409,4,0.5,0.18898223650461363,1,7.5,0.1889822365046136,15,1,0.3779644730092272,2,7,436.04371200833907,6.118321540457401,72.57009160486973
3,502,465,22932,11896,217,2783,13,27,478,22945,3699.75973771,214162,14934,14196,9504,546874,42962,6.973225875738927,6.628626927279349,57.88538045245001,4.437762067967239,57.55235613828666,62.75743462763927,34.78992884510126,20.259037419220107,38.820499269189284,51.141165269297574,18.04199331864038,19.380488058787396,748.1806297977266,1819.9656042015388,730.5885057471264,1600.4639561183885,0.315584690590917,0,0,7.777971963125725,0.4669052436385927,0,0,13.702328786681669,3.7870162870910042,0,0,567.7919533081779,56.5075499092559,81.4627275862069,81.20250064289888,40.098474931581826,0.9557559365129834,4.507368014822661,4.721736449311068,14.86554160566086,35.74116878402904,58.769741871921184,58.80781975452951,20.813431034482758,1.4370430553887474,7.58389661134277,4.187683553264199,13.228423464872591,48.956,70.50355590460708,70.71945161290323,32.87323642430984,0.9164103884177651,6.286640733311797,4.197573632568279,13.68085972915085,73.40736666666666,73.15296125731888,69.05222222222221,77.40580801339311,1.0280861193931548,5.302246310584413,1.831958116541932,7.013213090028409,6.756033333333333,14.078866712403281,12.888086021505377,4.427924045797238,0.02597438909558581,3.5118258097180868,1.8253115237849937,2.212679124614298,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,7,555.4673564871453,10.132516506196243,129.94835685135553
3,503,865,41663,18470,942,5401,47,77,912,41710,155.617713715,284867,21622,15423,1488,400,0,7.590208764089909,5.414105529949064,1830.5563884694293,0.5223490260367118,53.52460155327763,53.312697124018044,25.197806708890454,19.122494608522786,9.493792085975436,18.456685577981652,17.05326322550815,16.244715415562997,481.72141397949866,799.6904568602706,176.38464696223318,975.247225034662,0.9234859471486084,0,0,6.7801707845979795,1.1294334704515425,0,0,7.572746691488811,8.311373524337476,0,0,345.7887100144969,58.37310344827586,81.79886206896552,81.9335172413793,40.71416256157635,0,5.864938707100857,5.4849191371019295,15.173133186020781,38.057931034482756,62.02793103448276,62.10655172413793,23.859189655172415,0,9.294309063885802,5.370257524431751,13.95144475902372,47.162,71.55708064516129,71.75174193548388,32.45971190211346,0,7.266343332953806,5.281124323345021,14.541791973750856,68.47816666666667,71.4615752688172,64.18283870967741,71.9686972562106,0,4.050178386558263,1.3349821139389582,7.1434202540145675,5.913333333333333,14.122166666666669,12.363725806451614,4.131154430849092,0,3.829454624645947,1.7677148744838307,2.396006387659468,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,7,648.3727493883111,33.06806334184023,189.59725064679307
3,504,248,10732,6412,128,1089,27,28,275,10759,3456.59019129,105140,6191,10679,7996,902253,166865,5.888339357047745,10.156933612326421,30.417259258830953,7.605097964618604,45.18898369896555,56.3353146674526,29.32938316260155,12.357258974420862,10.592807613247938,33.70845349488894,10.973684508573236,12.437678907656304,587.4567880865521,1408.3828666863149,967.8696443658513,963.8662000048272,0.09549071618037136,0,0,4.793782339542127,0.20359134174609844,0,0,4.1387898170561055,1.2413793103448276,0,0,373.9150224842859,53.44246422707014,77.73672308233638,79.4031751721732,34.98039419693607,1.3098266630493183,2.7309775766589546,4.0530022690776315,15.26036456599972,33.50051137696458,55.311913441238566,56.89930960200172,17.415462091972067,0.4973677547574518,5.906818462483762,4.374109865455259,14.250068007609153,42.824,66.57325806451612,68.22683870967742,27.145684093437154,0,5.7293440995120815,4.428050455284731,15.362930819466635,74.48966666666666,76.0226935483871,67.35137992831541,77.35928377209245,0,6.612429229629421,3.2818186686125683,6.133247282570772,5.492666666666667,12.778881720430107,11.588369175627241,3.7408667655419605,0,3.3067354407771936,2.095886805834523,2.3762320286182317,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,609.8535286284954,12.174243865322428,103.57618413543845
3,505,401,15801,5844,380,1827,16,20,417,15817,4632.77849173,123960,7615,13048,9038,1705915,273548,6.143110680864796,10.52597612132946,26.757161004196885,7.2910616327847695,41.83006385696041,73.82711840299505,25.4186401122608,11.232577392105693,38.38359798614619,52.437714274104756,15.582359740039442,11.606031825776741,627.4509578544062,2362.4677888958417,940.4896841536497,1022.164542681618,0.6688343976160068,0,0,5.00342625552136,0.5831547284449238,0,0,4.1309013880263015,10.032515964240101,0,0,465.3186417634864,54.43668287651046,79.0842969318912,80.84327364216244,36.59297567625961,0.9681487997222383,3.093356773012886,4.4221756382844095,15.33587718216915,33.6457697044335,56.76005618538134,57.91641041372421,17.96759767430845,0.9165047977446472,6.536986338291871,4.034555223399648,14.003353530615959,44.76302197802198,69.01401935483871,71.12415299539171,29.946608390274907,1.0402221992272813,4.574275106885826,4.118749572506221,13.915189853160014,73.1842641025641,75.05777411674347,65.87013225806452,77.45222969897966,4.709526276187397,6.280769168573793,5.106350550947249,7.367953826233641,5.677769597069597,13.734381413210446,12.47563850486431,4.057053773249917,0.3396318252487728,2.9288732446317294,2.1992116140766718,2.2008669558228315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.4424007744434,30.65505001613424,147.3862536302033
3,506,375,13506,6172,159,1165,5,10,380,13511,4095.03982483,170495,10384,14942,11463,1001065,13139,6.0905011877181146,8.763893369307016,41.634515729545534,6.723364321534356,75.42743940006346,55.56001824608347,39.986062654947034,16.51186183981877,15.677223934379704,38.275392321436726,9.7313685600184,14.73119699252367,1282.2664698010788,2111.280693351172,2039.289195402299,1733.7454931809707,0.0688360450563204,0,0,6.710855971483081,0.16165134561738717,0,0,6.306052542702687,1.1702127659574468,0,0,704.6398770057235,55.056138800347725,79.40364367816092,79.54688548318434,36.05727168298977,0.9205856974643748,2.7742368915467512,3.5108128659875857,15.417657840934929,35.73097363083164,56.64019540229885,56.894607066836954,18.291445750391304,2.107583513368554,6.203302771695969,4.1015244738380545,14.13919887512844,44.531000000000006,66.30979902713773,68.0702380952381,31.556408292486157,0.029698484809831095,6.04327974524727,3.4561868178136406,16.822662629447674,79.03616666666667,77.655186465267107,69.58111162314388,80.3790994593097,2.2016948143545187,7.935130533365647,4.969047965413415,5.18668177832645,6.1975,13.106769642145986,11.983479689366787,4.73616509593484,0.16522728453725694,3.764030246550343,2.1244896451136634,3.1886309808301454,1.0833333333333333,0.290388355182154,6.5,1.75,0.47871355387816905,10.5,0.75,0.21897428033843486,4.5,7.583333333333334,0.15957118462605638,45.5,1,0.2834733547569204,6,7,362.0047508724596,9.325786679961288,68.33044957330127
3,507,294,11607,6647,211,1667,15,47,309,11622,197.052429951,78666,5703,5563,560,21052,430,7.2496377087941415,7.071670098899144,399.21354950843016,0.7118704395799964,108.91222570532915,64.51502349927041,39.187356321839076,18.082106660999134,20.308816079094505,41.67059178713178,0.28610994064719014,12.994872378047532,217.8244514106583,258.06009399708165,117.56206896551723,216.98527993198962,0,0,0,8.6065943702964791,0,0,0,7.591147225348405,0,0,0,103.27913244355774,56.00827586206897,79.78689655172414,80.70096551724139,36.888788177339904,0,3.69548633643563,4.252565720887071,16.191630499665127,35.40137931034483,57.64513793103448,57.83524137931035,19.438652709359605,0,8.42427512711689,4.543534436404319,14.664795615146145,45.176,68.594,69.50454838709678,29.25176028921023,0,5.905755836470037,4.339116227864592,15.03330153297157,72.91183333333333,74.62493010752688,65.82404838709678,76.43278389568657,0,7.50136129646429,3.6306122801637977,6.169819063039846,5.822666666666667,13.406325268817206,11.798964157706093,3.9701263131874924,0,3.7323338884149106,2.2114852835250107,2.455885829546276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.9647878371851,26.822261205603436,211.9085754964025
3,508,107,3595,1087,134,297,3,3,110,3598,2260.38182337,33811,2130,3715,4128,197546,62062,6.2997249415870575,10.987548430983999,14.958092323354126,12.209044393836326,38.173119580560595,60.50905786423028,34.826264367816094,17.93610017380632,7.646121130971693,37.42326170236104,24.53525610349094,17.95268138692694,229.03871748336357,786.6177522349936,696.5252873563219,663.6357064308339,0,0,0,4.8499949811982095,0,0,0,4.407293556216984,0,0,0,179.44981430433376,57.372551724137935,82.9200459770115,82.44576847290641,41.99788226600985,0.8852327129092988,4.904428125703367,4.611021194559584,14.576417160745617,35.38648275862069,60.688114942528735,60.33130541871921,21.825432785987957,1.0270454027039029,7.2944945626883,4.178857270874716,13.099467324775995,45.914,70.0672004608295,70.46535483870967,32.47282424916574,0,7.841895667273696,4.987532746874418,13.571516468150831,73.181,74.39637096774194,68.00787096774194,74.64948084291187,0,4.244579528293515,3.2687850782235657,5.546641612439585,6.0040000000000004,14.053392857142857,12.471225806451613,4.197818440242244,0,4.110563241919084,1.5551147967971632,2.234102926229429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.4930052349827,39.632072402472566,87.84123510100264
3,510,569,9732,2983,63,566,7,9,576,9739,3889.75030273,87882,5741,8408,7777,1092166,50325,6.532623290321113,9.567374433900003,22.593224027341936,8.849366195580437,25.474736590038315,53.32040689057181,23.92518731375053,13.081046215802079,9.793398585368355,26.98840316854249,18.972340803349745,14.898519904542704,305.69683908045977,1226.3693584831515,717.7556194125159,876.4300964587393,0.23979352916134525,0,0,3.676184388657243,0.28862696461154264,0,0,4.214291406420365,2.877522349936143,0,0,246.3043540400353,55.573793103448274,80.02765446868402,82.19210837438423,38.721218555165116,0.8415858988885738,3.931593480587988,4.900916613414189,15.402071283740096,32.61891625615763,57.365385292047854,58.78577339901478,17.94429294196439,0.9078613684429995,7.0200441612097375,4.197492133667003,13.716540704501774,45.92507881773399,69.04391625615763,70.48602150537634,30.350101079388622,2.114934077374901,5.730161256640163,4.721526905620626,13.94671705976993,66.56417186644774,72.88332795551788,64.46965514592934,75.39796745240481,3.7828692776819155,4.5013417847416655,2.4519057146902092,7.811540557658254,5.240009304871374,13.285720735169196,11.922663423792455,3.9585082064204853,0.08034705261558267,2.986344244308415,1.978066758603878,2.1103657979709283,15,3.670993118515816,15,18,4.076646614442761,18,11,3.309438162646486,11,19,3.3022358947782493,19,15,3.670993118515816,15,7,339.43242074600033,7.168703488769031,64.4045424546551
